id;d_spell;f_spell;champion;side;role;assists;damage_objectives;damage_building;damage_turrets;deaths;gold_earned;kills;time_cc;damage_total;damage_taken;total_minions_killed;turret_kills;vision_score;result
166;Smite;Ghost;Hecarim;Blue;Jungle;2;0;3740;0;7;8353;6;16;96512;30313;21;0;15;0
167;Ignite;Flash;Pyke;Red;Support;13;1614;2913;1614;7;13496;6;17;30162;26622;35;0;91;1
168;Teleport;Flash;Jayce;Red;Top;4;3901;3901;3901;7;14809;5;7;186267;20654;242;1;22;0
169;Heal;Flash;Ezreal;Blue;Adc;8;7365;21623;7365;1;15629;6;7;217777;20746;233;2;17;1
170;Flash;Ignite;Nidalee;Red;Mid;8;3932;11799;3932;3;8895;2;0;99229;16341;145;3;11;1
171;Flash;Teleport;Akali;Red;Mid;2;0;266;0;5;11590;10;1;114061;23744;190;0;19;0
172;Flash;Heal;Caitlyn;Red;Adc;6;0;0;0;12;6843;2;14;46239;18054;79;0;19;0
173;Cleanse;Flash;Caitlyn;Red;Adc;17;3303;16885;3303;9;19474;12;19;293229;26815;284;2;42;0
174;Smite;Flash;Viego;Red;Jungle;8;835;21650;835;4;11359;8;19;173482;30575;48;0;30;0
175;Teleport;Ignite;TahmKench;Red;Top;12;5538;8998;5538;5;13045;9;37;107320;42103;159;1;23;1
176;Flash;Exhaust;Karthus;Red;Adc;1;215;215;215;5;5787;2;7;55232;7012;115;0;3;0
177;Flash;Ignite;Katarina;Blue;Mid;11;1029;1646;1029;5;12468;11;4;120836;22223;157;1;20;1
178;Exhaust;Flash;Karthus;Blue;Mid;14;145;16623;145;6;10676;5;14;124651;14637;125;1;12;1
179;Flash;Smite;RekSai;Blue;Jungle;1;0;6303;0;3;6073;4;13;72943;12779;10;0;12;0
180;Smite;Flash;Qiyana;Red;Jungle;11;491;16077;491;4;12792;9;23;174694;28202;46;0;22;1
181;Flash;Smite;Zed;Blue;Jungle;11;1421;35191;1421;8;14106;6;8;233123;29519;39;0;31;1
182;Flash;Teleport;Orianna;Red;Mid;8;3595;5520;3595;4;8369;1;13;90138;11903;146;1;15;1
183;Flash;Heal;Jhin;Blue;Adc;4;1833;8019;1833;6;13174;6;17;170379;20277;196;0;17;0
184;Flash;Ignite;Janna;Blue;Support;24;0;3647;0;5;9493;2;43;30938;17267;28;0;85;0
185;Flash;Teleport;Akshan;Blue;Top;9;3723;8614;3723;9;12275;10;2;111381;27825;126;3;26;1
186;Flash;Exhaust;Lucian;Red;Adc;8;2936;11763;2936;3;7838;4;1;82350;10271;122;2;12;1
187;Smite;Flash;Kindred;Blue;Jungle;8;898;35307;898;5;13987;12;9;201561;23916;42;1;39;0
188;Flash;Teleport;Yone;Blue;Top;8;4764;8576;4764;3;10871;8;20;126658;16969;177;1;22;1
189;Ignite;Flash;Jax;Red;Top;4;6151;11220;6151;2;10331;6;7;113854;14181;149;2;8;1
190;Ignite;Teleport;Rumble;Red;Top;10;2325;7427;2325;10;16470;9;20;232572;28114;261;1;26;0
191;Teleport;Flash;Renekton;Red;Top;3;3022;4500;3022;6;8774;3;20;93588;29514;167;1;10;0
192;Flash;Teleport;Fiora;Red;Top;7;16180;22008;16180;8;20031;19;20;210099;53049;196;4;32;1
193;Flash;Teleport;Graves;Red;Top;10;5288;14834;5288;3;10012;4;9;106512;13239;144;3;12;1
194;Flash;Smite;Qiyana;Red;Jungle;10;1309;49950;1309;7;16209;11;23;236106;35864;44;2;31;1
195;Flash;Teleport;Fiora;Red;Top;0;0;822;0;5;4086;0;2;29174;13255;81;0;8;0
196;Teleport;Flash;Leblanc;Red;Mid;4;1696;1777;1696;8;9575;3;15;90412;20729;166;0;20;0
197;Flash;Exhaust;Rakan;Blue;Support;18;0;394;0;5;9066;2;37;25444;16412;41;0;89;1
198;Flash;Heal;Jinx;Blue;Adc;0;3042;3042;3042;4;10719;7;7;119742;17080;199;1;18;0
199;Flash;Exhaust;Ezreal;Blue;Adc;19;11644;26551;11644;3;17799;14;17;210523;22803;208;5;13;1
200;Cleanse;Flash;Vayne;Red;Adc;2;3648;3648;3648;7;8866;3;4;89061;17068;163;1;16;0
201;Flash;Teleport;Gangplank;Blue;Top;10;3179;10108;3179;12;16849;4;11;282726;28690;252;1;35;0
202;Teleport;Ignite;Camille;Red;Top;3;958;5470;958;12;11834;1;19;192813;43680;241;0;18;0
203;Smite;Flash;Trundle;Red;Jungle;6;0;3625;0;7;9113;5;29;86342;36985;25;0;37;0
204;Teleport;Flash;Syndra;Red;Mid;3;1483;1483;1483;6;10398;6;30;134761;15614;202;0;26;0
205;Flash;Teleport;Viktor;Blue;Mid;10;7375;16546;7375;4;16771;9;24;225939;13445;236;5;27;1
206;Flash;Exhaust;Twitch;Red;Adc;10;10115;12762;10115;9;17293;15;13;203682;23013;213;5;36;0
207;Ignite;Flash;Rakan;Blue;Support;18;767;3422;767;10;9742;0;54;29656;35438;35;0;122;0
208;Flash;Teleport;Syndra;Blue;Mid;4;330;607;330;4;7670;0;27;91006;11398;189;0;16;0
209;Cleanse;Flash;Jinx;Blue;Adc;6;17035;31195;17035;5;18987;14;11;293600;18587;290;6;37;1
210;Teleport;Flash;Graves;Red;Top;2;2573;4459;2573;5;7593;3;6;76492;10457;127;1;17;0
211;Flash;Exhaust;Soraka;Red;Support;23;1289;3069;1289;4;7289;1;27;13493;8088;6;1;44;1
212;Exhaust;Ignite;Yuumi;Red;Support;3;521;521;521;3;4958;1;11;8042;6463;2;0;33;0
213;Flash;Heal;Caitlyn;Blue;Adc;13;15678;26468;15678;7;16939;12;29;262140;20796;263;3;20;1
214;Smite;Flash;Kayn;Red;Jungle;4;1117;13905;1117;9;11013;3;27;177434;41181;43;1;19;0
215;Flash;Heal;Lulu;Red;Support;21;974;2260;974;4;8553;1;24;11573;10603;8;0;80;1
216;Smite;Flash;Qiyana;Blue;Jungle;4;0;7346;0;5;7641;2;16;145488;20936;7;0;20;0
217;Flash;Smite;JarvanIV;Red;Jungle;17;1687;21074;1687;4;13397;5;17;184411;37951;54;2;30;1
218;Flash;Teleport;Ziggs;Blue;Adc;9;19665;20431;19665;3;10699;7;11;123192;8057;140;4;9;1
219;Flash;Ignite;Bard;Red;Support;9;228;228;228;6;5794;1;17;10713;13353;15;0;30;0
220;Ignite;Teleport;MonkeyKing;Blue;Top;3;380;380;380;4;6546;2;6;50778;16119;123;0;12;0
221;Exhaust;Flash;Ezreal;Blue;Adc;1;0;0;0;3;6047;3;1;51535;5648;125;0;9;0
222;Flash;Ignite;Lux;Blue;Support;20;7787;7787;7787;5;9803;1;28;48896;8386;42;2;59;1
223;Flash;Ignite;Lulu;Red;Support;17;1278;4499;1278;1;7163;1;19;17511;4056;11;1;54;1
224;Flash;Exhaust;Karthus;Red;Adc;8;2918;5333;2918;9;14206;8;22;193569;20176;245;1;25;0
225;Flash;Ignite;Bard;Blue;Support;8;151;1384;151;10;8441;2;23;14312;26018;17;0;78;0
226;Smite;Flash;Ekko;Red;Jungle;6;2145;18041;2145;7;11556;4;13;206731;34760;72;0;33;0
227;Flash;Teleport;Senna;Red;Top;18;1254;2245;1254;8;8381;2;14;51377;25372;86;0;10;1
228;Flash;Teleport;Viktor;Blue;Top;3;693;2341;693;3;13373;3;11;200142;13713;274;1;48;0
229;Smite;Flash;Evelynn;Blue;Jungle;9;437;11188;437;1;11305;13;8;119548;17840;20;2;18;1
230;Smite;Flash;Kindred;Blue;Jungle;7;0;27612;0;10;9832;5;13;126412;23638;20;1;39;0
231;Flash;Teleport;Ziggs;Blue;Adc;3;543;2754;543;4;9014;4;11;106757;10049;168;0;11;0
232;Smite;Flash;LeeSin;Blue;Jungle;4;289;25878;289;5;13677;12;21;157931;37486;20;0;46;1
233;Flash;Teleport;Vex;Red;Mid;9;1480;1480;1480;7;8546;2;33;85068;16891;144;0;17;0
234;Flash;Smite;XinZhao;Red;Jungle;15;270;11599;270;5;13512;3;25;182893;52473;45;0;36;1
235;Flash;Teleport;Camille;Blue;Top;3;0;0;0;6;8922;7;20;63824;13210;117;0;11;0
236;Flash;Heal;Aphelios;Blue;Adc;2;5245;14455;5245;2;13031;9;21;171651;16083;204;2;22;1
237;Smite;Flash;Kayn;Blue;Jungle;0;0;1704;0;5;4212;0;6;55202;15128;5;0;15;0
238;Smite;Flash;Viego;Blue;Jungle;10;2914;66633;2914;7;22292;20;25;305356;55607;111;3;53;0
239;Flash;Cleanse;Jhin;Red;Adc;5;2381;5684;2381;6;15292;9;21;200162;18949;270;1;19;0
240;Flash;Teleport;Corki;Red;Mid;4;861;4036;861;5;11580;9;3;122014;12955;177;0;18;1
241;Flash;Ignite;Gragas;Red;Mid;4;2281;5496;2281;3;8830;5;18;103014;12521;172;1;16;1
242;Flash;Teleport;Volibear;Blue;Top;4;7703;15301;7703;6;10869;3;22;146197;21988;165;3;17;1
243;Flash;Heal;Varus;Red;Adc;5;1651;9361;1651;1;9092;8;14;72230;8702;121;2;23;1
244;Flash;Heal;Caitlyn;Red;Adc;5;4195;5207;4195;5;12484;3;12;162844;15085;229;1;21;0
245;Flash;Ignite;Jax;Blue;Top;1;6582;6582;6582;1;10276;5;3;108183;6961;157;2;10;1
246;Heal;Flash;Morgana;Red;Support;21;0;761;0;14;10119;2;40;43592;35164;33;0;83;0
247;Flash;Exhaust;Senna;Blue;Support;13;5039;5039;5039;3;9748;8;12;36498;9243;21;2;37;1
248;Smite;Flash;Gragas;Blue;Jungle;13;0;21872;0;1;9065;5;25;98818;19770;25;2;28;1
249;Flash;Teleport;Vex;Red;Adc;10;1955;7701;1955;6;11198;6;23;118064;18957;175;3;28;1
250;Flash;Teleport;Sett;Blue;Top;10;8093;15729;8093;6;17986;11;27;235766;42310;266;3;25;1
251;Flash;Heal;Xerath;Red;Support;3;0;1994;0;4;6682;2;26;20861;8520;16;0;49;1
252;Ignite;Flash;Nami;Red;Support;27;1002;1863;1002;9;10011;3;26;16044;20963;10;1;75;1
253;Flash;Heal;MissFortune;Blue;Adc;3;448;1920;448;6;11739;7;8;137257;20259;207;0;28;0
254;Flash;Teleport;Jax;Red;Top;7;1063;1273;1063;3;11288;5;13;95195;20106;174;1;21;0
255;Ignite;Teleport;Camille;Red;Top;4;7838;8871;7838;3;10318;8;12;83104;18066;138;3;7;1
256;Ignite;Flash;Singed;Blue;Top;8;1341;2110;1341;5;11708;2;22;143347;24455;211;2;33;1
257;Ignite;Teleport;Camille;Red;Top;5;2544;4521;2544;5;7957;1;15;64815;16252;164;1;21;1
258;Flash;Teleport;Irelia;Red;Top;1;432;3095;432;9;7525;1;9;106801;22930;167;1;13;0
259;Smite;Flash;Fiddlesticks;Red;Jungle;7;0;13733;0;7;7462;4;24;94129;23638;15;0;48;0
260;Smite;Ghost;Rammus;Red;Jungle;12;466;8525;466;10;11125;4;49;138398;38284;55;0;36;0
261;Heal;Ignite;Yuumi;Blue;Support;9;73;73;73;5;4555;0;11;7145;7728;3;0;29;0
262;Flash;Exhaust;Yasuo;Blue;Adc;9;7939;16894;7939;6;17254;7;28;268381;29121;300;4;37;1
263;Flash;Teleport;Veigar;Red;Adc;2;3923;3923;3923;1;8341;5;10;68174;6918;143;1;17;1
264;Ignite;Flash;Shen;Red;Top;11;695;2020;695;2;6876;1;21;64185;11391;117;0;21;1
265;Ignite;Flash;Pyke;Red;Support;3;167;167;167;2;6374;4;16;14712;8698;27;0;39;1
266;Flash;Ignite;Pyke;Blue;Support;10;404;935;404;8;9464;3;18;18643;14569;27;0;37;1
267;Flash;Smite;LeeSin;Red;Jungle;2;589;10944;589;5;5939;2;6;88524;19262;13;1;11;0
268;Ignite;Flash;Pyke;Red;Support;13;1614;2913;1614;7;13496;6;17;30162;26622;35;0;91;1
269;Smite;Flash;Viego;Blue;Jungle;3;1687;14911;1687;7;7968;4;11;113550;27308;19;1;8;0
270;Flash;Smite;LeeSin;Blue;Jungle;9;441;29605;441;2;9685;5;16;131871;23754;29;2;20;1
271;Heal;Flash;Jhin;Red;Adc;14;2470;7671;2470;7;15676;13;21;219191;19958;232;0;24;0
272;Flash;Smite;Kindred;Blue;Jungle;16;5353;50211;5353;17;19999;16;19;299833;50974;105;4;41;1
273;Flash;Exhaust;Senna;Blue;Support;21;2529;2529;2529;10;12889;8;35;54138;19352;25;0;68;0
274;Flash;Ignite;Rell;Red;Support;7;0;0;0;4;5025;0;27;12367;8359;24;0;42;0
275;Flash;Ignite;Neeko;Blue;Support;12;2202;2740;2202;5;10692;2;59;33508;21592;26;1;117;0
276;Ignite;Smite;Talon;Red;Jungle;6;583;25536;583;8;13844;7;4;206995;34749;43;0;39;0
277;Flash;Teleport;Karma;Blue;Top;10;1846;1846;1846;9;8027;0;42;79958;26067;111;1;15;1
278;Flash;Ignite;Braum;Red;Support;12;279;489;279;4;6518;1;30;18775;15235;31;0;48;0
279;Exhaust;Flash;Jhin;Blue;Adc;8;4665;7599;4665;4;17078;11;35;253991;21074;301;1;44;0
280;Smite;Flash;Nocturne;Red;Jungle;2;49;5943;49;6;8417;5;97;122258;19480;33;0;9;0
281;Flash;Exhaust;Bard;Blue;Support;25;785;2353;785;5;10489;2;75;26241;25329;37;0;138;0
282;Flash;Smite;LeeSin;Blue;Jungle;5;1168;16449;1168;5;8841;6;14;106125;24510;8;0;18;0
283;Smite;Flash;Viego;Blue;Jungle;10;1006;16922;1006;2;12827;16;15;137678;20853;24;2;21;1
284;Flash;Teleport;Vayne;Red;Mid;7;4596;10101;4596;2;9829;5;5;94212;12432;157;1;18;1
285;Flash;Teleport;Kassadin;Red;Mid;5;3113;5159;3113;5;12873;10;15;111239;18433;174;1;11;0
286;Exhaust;Flash;Sona;Blue;Support;9;715;2668;715;4;6095;1;4;14808;7130;16;0;56;1
287;Flash;Teleport;Viktor;Red;Mid;0;1246;2620;1246;4;8900;3;4;91458;11595;160;0;16;0
288;Flash;Teleport;Yone;Red;Mid;4;4296;4848;4296;10;9239;5;19;98763;22870;151;1;15;0
289;Flash;Teleport;Singed;Red;Mid;18;4079;23416;4079;8;16619;12;39;185616;39881;168;2;19;1
290;Smite;Flash;Zed;Red;Jungle;3;0;2068;0;7;7097;3;6;75711;17512;23;0;7;0
291;Exhaust;Flash;Samira;Red;Adc;6;4098;4098;4098;6;11494;5;2;129006;19001;201;1;10;0
292;Smite;Flash;LeeSin;Blue;Jungle;13;929;37333;929;2;13205;15;16;125378;18442;12;1;38;1
293;Teleport;Flash;Viktor;Red;Adc;17;4506;5895;4506;10;13776;4;38;171139;24189;182;2;19;1
294;Flash;Ignite;Gragas;Blue;Mid;3;3588;3588;3588;0;7107;4;8;56891;7214;113;2;7;1
295;Flash;Smite;Kindred;Blue;Jungle;13;4432;14056;4432;4;14413;18;9;162377;22688;59;2;36;1
296;Teleport;Flash;Singed;Red;Top;4;3416;4202;3416;7;7439;1;21;79849;16748;126;1;14;1
297;Flash;Teleport;Camille;Blue;Top;5;4281;5548;4281;9;9959;3;20;104111;31402;160;1;13;1
298;Ignite;Smite;Talon;Red;Jungle;8;0;14892;0;6;10169;6;4;164495;24743;29;0;31;0
299;Ignite;Heal;Yuumi;Blue;Support;25;812;1064;812;8;9970;2;20;17548;17912;14;0;83;1
300;Heal;Flash;Jinx;Red;Adc;4;2221;2221;2221;4;6328;3;8;57805;8855;128;0;6;1
301;Flash;Teleport;TwistedFate;Red;Mid;10;4406;10263;4406;5;10049;1;39;111589;18187;178;3;17;1
302;Flash;Smite;Zed;Red;Jungle;12;3213;27822;3213;4;13615;12;5;187160;30835;33;2;36;1
303;Flash;Heal;Jinx;Blue;Adc;4;4400;4972;4400;3;9399;2;13;100990;9917;183;3;21;1
304;Teleport;Flash;Illaoi;Blue;Top;11;5403;9023;5403;10;15695;5;6;241968;53506;236;5;37;1
305;Flash;Smite;Kindred;Red;Jungle;8;6647;41606;6647;1;10865;8;5;129340;21460;42;3;25;1
306;Flash;Teleport;Fiora;Red;Top;4;1742;1893;1742;11;8182;0;9;85328;29576;171;0;14;0
307;Flash;Ignite;Blitzcrank;Blue;Support;22;2953;2953;2953;6;9687;2;44;28101;28312;32;2;57;0
308;Flash;Exhaust;Kaisa;Red;Adc;5;4112;19448;4112;7;12435;6;3;139462;17489;224;2;27;0
309;Smite;Flash;Nunu;Red;Jungle;23;1634;34735;1634;3;16950;12;39;168955;52292;57;1;27;1
310;Flash;Ignite;Yone;Red;Mid;1;0;1847;0;7;6547;2;10;78561;15873;138;0;9;0
311;Teleport;Flash;Riven;Red;Top;2;0;0;0;9;6637;2;15;41330;17591;118;0;12;0
312;Teleport;Flash;Xerath;Blue;Adc;7;657;1015;657;2;6351;0;12;64004;4830;131;0;14;1
313;Ignite;Flash;Lulu;Red;Support;28;1630;3105;1630;5;9812;2;30;17474;13611;16;0;59;1
314;Flash;Teleport;Fiora;Red;Top;5;6742;9609;6742;5;12821;9;13;114987;38468;164;1;16;1
315;Flash;Teleport;Cassiopeia;Red;Mid;6;703;9714;703;2;8553;6;8;92128;8523;154;1;19;1
316;Flash;Smite;Nidalee;Blue;Jungle;11;0;3035;0;9;8569;2;3;119671;28426;25;0;18;0
317;Heal;Flash;Ezreal;Blue;Adc;4;400;2763;400;8;10937;8;0;128593;25864;187;0;18;0
318;Ignite;Flash;Akshan;Blue;Mid;8;2464;2464;2464;9;15715;16;7;104524;26333;154;2;16;1
319;Exhaust;Flash;Lucian;Red;Adc;4;145;3367;145;6;10661;3;2;137116;16146;226;0;37;0
320;Flash;Ignite;Zilean;Red;Support;0;0;0;0;1;4024;2;6;5401;4180;14;0;18;0
321;Flash;Teleport;Sylas;Blue;Mid;7;5830;5995;5830;4;12098;5;23;130670;24327;205;1;13;0
322;Ignite;Flash;Yasuo;Blue;Mid;7;290;5283;290;9;12083;5;20;176078;28181;215;0;29;0
323;Flash;Heal;Ezreal;Red;Adc;5;0;5488;0;9;7172;2;0;61261;15190;126;0;15;0
324;Flash;Teleport;Syndra;Blue;Mid;3;5292;8245;5292;5;12654;10;30;124982;14721;201;1;26;1
325;Flash;Smite;Khazix;Red;Jungle;7;3118;48477;3118;2;11991;7;7;164805;24758;34;2;20;1
326;Flash;Smite;Qiyana;Blue;Jungle;2;0;9129;0;10;7668;4;13;106450;23687;11;0;23;0
327;Flash;Smite;Ivern;Red;Jungle;19;3134;20459;3134;0;10236;3;37;264817;5763;37;1;39;1
328;Ignite;Flash;Rell;Blue;Support;12;180;996;180;5;7314;2;55;18370;14314;27;0;69;0
329;Teleport;Ignite;Camille;Red;Mid;6;9443;22340;9443;3;12030;4;16;112522;16860;176;4;13;1
330;Teleport;Flash;Veigar;Blue;Adc;4;4411;6521;4411;6;11281;10;24;113066;12931;162;3;28;1
331;Ignite;Teleport;Camille;Red;Top;5;593;593;593;5;8709;6;16;85138;18990;147;1;18;1
332;Flash;Teleport;Galio;Blue;Mid;17;1086;4252;1086;11;13326;8;37;124414;34140;142;0;34;1
