id;d_spell;f_spell;champion;side;role;assists;damage_objectives;damage_building;damage_turrets;deaths;gold_earned;kills;time_cc;damage_total;damage_taken;total_minions_killed;turret_kills;vision_score;result
333;Flash;Heal;Nami;Blue;Support;3;2430;2689;2430;1;6588;2;24;18309;5470;13;0;41;0
334;Teleport;Flash;Poppy;Red;Top;3;4824;9547;4824;4;9488;2;18;116005;22440;166;1;17;1
335;Smite;Flash;Ivern;Red;Jungle;17;1489;30981;1489;2;12774;2;53;499423;19177;16;2;33;1
336;Flash;Teleport;Sion;Red;Top;4;1398;5662;1398;3;8639;1;10;102446;16046;163;1;12;1
337;Teleport;Flash;TwistedFate;Blue;Mid;15;1497;3909;1497;5;8066;2;22;90983;13110;124;1;25;1
338;Flash;Ignite;Lulu;Blue;Support;1;0;304;0;3;6249;3;23;12038;6029;9;0;53;0
339;Flash;Smite;Ivern;Red;Jungle;11;38;24847;38;4;8123;0;23;324824;14886;33;0;33;0
340;Ignite;Smite;Talon;Blue;Jungle;2;897;8964;897;7;12102;6;4;199912;27525;25;0;35;0
341;Flash;Teleport;Leblanc;Blue;Mid;2;0;59;0;4;10369;10;9;70788;15071;131;0;25;0
342;Exhaust;Flash;Aphelios;Blue;Adc;7;10142;15499;10142;3;10535;4;13;131614;13437;167;6;28;1
343;Flash;Heal;Varus;Red;Adc;5;1243;6476;1243;1;9129;4;10;104317;8457;181;2;17;1
344;Barrier;Flash;Velkoz;Blue;Mid;10;2122;2122;2122;2;9280;2;15;106977;7696;180;1;10;1
345;Flash;Exhaust;Lucian;Red;Adc;1;5939;15256;5939;6;12529;7;0;143613;15079;221;1;24;0
346;Flash;Smite;LeeSin;Red;Jungle;6;1781;15916;1781;6;13898;14;28;160019;39531;50;1;22;0
347;Smite;Ghost;Gwen;Blue;Jungle;4;1545;2715;1545;8;11825;9;6;102406;26131;63;0;20;0
348;Flash;Heal;Lucian;Blue;Adc;4;0;0;0;10;8015;0;0;85141;16114;194;0;17;0
349;Teleport;Ignite;Katarina;Blue;Mid;8;6158;8556;6158;4;14686;16;2;159810;23896;201;2;22;1
350;Flash;Teleport;Galio;Red;Mid;13;1602;2555;1602;8;8979;7;36;73574;22812;112;0;17;0
351;Ignite;Flash;Rumble;Red;Mid;7;0;0;0;9;9276;7;10;98946;19525;157;0;17;0
352;Flash;Heal;Soraka;Blue;Support;28;1671;2605;1671;5;8055;0;30;13900;15535;8;0;54;1
353;Flash;Exhaust;Karthus;Blue;Adc;10;3563;3563;3563;7;12863;9;18;135362;12646;197;0;11;1
354;Ignite;Flash;Nami;Red;Support;12;875;3169;875;10;6852;1;25;13291;14968;14;1;67;0
355;Ignite;Teleport;Camille;Blue;Top;7;2563;4382;2563;5;9974;5;17;87830;25101;155;1;19;0
356;Ignite;Flash;Yasuo;Red;Mid;3;679;5974;679;10;10939;5;28;144014;25258;185;0;33;0
357;Flash;Smite;Graves;Red;Jungle;0;0;8776;0;3;8236;3;10;120212;10412;36;0;14;0
358;Flash;Teleport;Leblanc;Blue;Mid;3;770;770;770;3;7278;3;5;52838;11029;131;0;21;1
359;Smite;Flash;Nidalee;Blue;Jungle;2;0;12317;0;2;5067;1;0;63093;10272;5;0;15;0
360;Flash;Cleanse;Lucian;Blue;Adc;8;6337;15340;6337;4;13217;7;1;188990;19717;225;3;35;1
361;Ignite;Smite;Talon;Red;Jungle;4;545;24558;545;1;12172;11;4;175332;24501;29;1;18;1
362;Teleport;Ignite;Katarina;Blue;Mid;16;1859;5707;1859;6;13789;8;0;150081;34444;189;0;20;1
363;Ignite;Flash;Sona;Red;Support;7;613;613;613;6;7000;2;8;16395;16736;21;0;52;0
364;Teleport;Ignite;JarvanIV;Blue;Top;4;2458;6585;2458;6;9899;7;18;87655;29451;137;1;20;0
365;Flash;Exhaust;Lulu;Blue;Support;17;750;1902;750;2;8106;2;22;16078;7768;10;1;56;1
366;Flash;Teleport;Seraphine;Red;Adc;7;1542;1651;1542;2;10812;4;25;135980;8640;196;0;12;0
367;Flash;Teleport;Irelia;Red;Mid;7;3961;4354;3961;10;10519;7;19;115753;32294;163;1;25;0
368;Flash;Teleport;Irelia;Red;Top;11;2259;2259;2259;5;11655;6;18;128980;24220;181;1;26;0
369;Ignite;Flash;Rakan;Red;Support;4;0;0;0;8;7080;2;24;15033;20087;48;0;72;0
370;Flash;Teleport;Irelia;Red;Top;5;1817;6827;1817;6;11354;1;6;166407;33025;253;1;18;0
371;Flash;Heal;Lulu;Red;Support;17;557;2721;557;1;6857;2;7;18738;7606;11;0;29;1
372;Flash;Heal;Lux;Blue;Adc;12;4587;4587;4587;4;11226;4;51;152840;13000;212;1;23;0
373;Flash;Heal;Sivir;Blue;Adc;3;1936;6621;1936;1;13348;4;4;204744;11020;288;1;31;0
374;Ignite;Flash;Leona;Red;Support;6;0;0;0;6;5187;1;23;16370;15451;31;0;36;0
375;Flash;Smite;Nunu;Red;Jungle;10;2255;24682;2255;7;12203;7;23;177260;32981;50;1;37;1
376;Flash;Ignite;Poppy;Blue;Support;17;1717;2830;1717;4;11074;7;52;37542;28494;52;2;83;1
377;Flash;Teleport;Mordekaiser;Blue;Top;4;1779;9617;1779;4;13953;11;6;154501;33251;167;0;34;1
378;Flash;Ignite;Lulu;Red;Support;17;1301;2537;1301;3;8555;4;33;14991;8268;7;1;36;1
379;Ignite;Flash;Singed;Blue;Top;4;3849;7383;3849;4;9941;1;16;122681;22936;173;1;45;1
380;Flash;Teleport;Renekton;Blue;Top;6;2279;6679;2279;9;9333;2;14;109673;33223;162;1;21;0
381;Flash;Teleport;Fiora;Red;Top;6;2432;2432;2432;6;9388;6;11;80299;25691;130;0;16;1
382;Flash;Ignite;Thresh;Blue;Support;17;351;450;351;10;8499;0;31;19446;20976;34;0;81;1
383;Teleport;Flash;Singed;Red;Top;8;835;12786;835;5;9347;6;21;108799;19597;140;0;21;0
384;Flash;Teleport;Sylas;Blue;Mid;9;1443;2298;1443;9;10609;8;31;96550;30417;124;0;27;0
385;Flash;Teleport;Renekton;Red;Top;5;3598;11112;3598;15;16174;5;16;237371;69653;296;2;34;0
386;Flash;Smite;Trundle;Red;Jungle;8;2536;12559;2536;5;9708;4;23;112797;40953;31;0;36;0
387;Flash;Ghost;Vladimir;Blue;Adc;7;3649;11219;3649;2;11937;7;2;139779;21264;215;1;24;1
388;Ignite;Flash;Thresh;Blue;Support;10;0;856;0;3;6374;1;30;18906;13435;35;0;38;0
389;Ignite;Flash;Vex;Red;Support;12;782;10511;782;5;9005;3;30;34232;13636;25;0;80;1
390;Flash;Ignite;Brand;Blue;Support;2;544;544;544;11;6626;4;12;32639;14974;32;0;54;0
391;Flash;Heal;Aphelios;Blue;Adc;15;10706;15388;10706;5;14390;10;17;172941;12806;201;5;7;1
392;Ignite;Flash;AurelionSol;Blue;Mid;3;0;3419;0;4;9501;3;17;111136;15828;199;0;18;0
393;Flash;Ignite;Rakan;Blue;Support;12;76;76;76;8;8308;1;20;16795;29246;32;0;80;0
394;Flash;Ignite;Zoe;Blue;Mid;9;2294;6978;2294;5;13466;7;58;181801;21986;217;0;39;1
395;Ignite;Flash;Rakan;Blue;Support;4;328;912;328;8;6302;3;18;17839;17257;32;0;46;0
396;Exhaust;Flash;Lucian;Red;Adc;7;10857;18605;10857;6;17270;9;2;267697;22998;326;5;41;1
397;Ignite;Teleport;Leblanc;Red;Mid;1;216;216;216;7;7021;2;11;59520;19490;123;0;12;0
398;Ignite;Flash;Karma;Blue;Support;11;962;4587;962;2;7695;6;14;19564;8310;4;0;50;1
399;Teleport;Flash;Kassadin;Blue;Mid;5;2191;2191;2191;7;9837;6;9;98154;19774;148;1;16;0
400;Heal;Ignite;Yuumi;Red;Support;15;108;321;108;7;6940;1;10;16587;11272;5;0;66;0
401;Flash;Teleport;Sylas;Red;Mid;5;0;0;0;2;6115;5;18;48280;11144;94;0;10;1
402;Flash;Ignite;Rakan;Blue;Support;19;408;1733;408;9;9272;2;28;15054;20196;20;0;95;1
403;Smite;Flash;Viego;Blue;Jungle;4;1968;30368;1968;7;11532;9;14;127737;19054;30;2;19;1
404;Flash;Teleport;Aatrox;Red;Top;3;0;0;0;5;4444;1;12;38940;12290;83;0;7;0
405;Flash;Smite;Nunu;Red;Jungle;18;0;17185;0;12;13072;3;36;202700;37546;55;0;39;0
406;Heal;Flash;KogMaw;Red;Adc;9;4587;29199;4587;9;16190;6;3;262167;27969;250;1;32;1
407;Teleport;Flash;Jayce;Blue;Top;3;3583;8876;3583;11;12060;7;10;135198;25474;154;1;22;0
408;Ignite;Teleport;Gwen;Blue;Top;1;925;925;925;11;8455;4;5;95696;29642;149;0;18;0
409;Smite;Flash;Qiyana;Blue;Jungle;8;622;20819;622;5;10250;7;13;126801;20512;32;2;32;1
410;Flash;Smite;XinZhao;Red;Jungle;8;2497;17639;2497;7;13424;6;16;165436;39890;77;0;48;1
411;Ignite;Teleport;Camille;Red;Top;3;5553;6221;5553;1;7780;5;7;64396;11880;125;1;15;1
412;Flash;Exhaust;Yasuo;Red;Adc;7;9880;10186;9880;1;9850;7;14;102266;9898;121;3;15;1
413;Flash;Teleport;Ziggs;Red;Adc;3;7354;11614;7354;6;8221;0;11;120468;14723;188;1;11;0
414;Flash;Smite;Viego;Blue;Jungle;3;0;22267;0;4;10088;5;15;136266;21779;21;0;23;0
415;Flash;Smite;LeeSin;Blue;Jungle;2;0;9717;0;5;6249;0;8;98009;21971;14;0;19;0
416;Flash;Smite;LeeSin;Blue;Jungle;13;407;18807;407;2;7980;3;14;103105;17455;13;2;20;1
417;Flash;Exhaust;Aphelios;Red;Adc;3;5450;10712;5450;5;8043;6;4;68039;8918;125;0;11;1
418;Flash;Teleport;Sylas;Blue;Mid;6;5757;10751;5757;3;12302;10;25;110687;23939;161;3;26;1
419;Ignite;Teleport;Camille;Blue;Top;5;997;997;997;1;6637;3;12;52200;15047;122;0;13;0
420;Teleport;Flash;Graves;Red;Top;9;4521;11602;4521;10;11556;4;10;167203;29447;175;2;31;0
421;Flash;Teleport;Zoe;Blue;Mid;12;7091;15947;7091;3;10958;6;28;113526;14001;162;3;19;1
422;Ignite;Flash;Lulu;Red;Support;9;97;3741;97;6;9527;8;31;17264;15256;22;0;79;0
423;Flash;Exhaust;Kaisa;Red;Adc;7;0;8862;0;10;9374;3;5;104038;18763;185;0;26;0
424;Ignite;Flash;Zilean;Red;Support;6;148;148;148;9;5732;0;11;15223;19309;25;0;50;0
425;Heal;Flash;Lux;Red;Support;14;2420;3095;2420;5;9816;3;62;47575;9025;24;2;84;1
426;Smite;Flash;Kayn;Blue;Jungle;11;159;28452;159;8;19801;23;17;182978;43622;25;0;29;0
427;Smite;Ghost;Hecarim;Blue;Jungle;13;4940;22984;4940;4;12292;6;19;144212;26720;41;4;23;1
428;Teleport;Flash;Seraphine;Blue;Adc;6;183;392;183;7;7502;1;15;72223;14115;139;0;15;0
429;Teleport;Flash;Kayle;Red;Mid;7;5518;23180;5518;5;15227;6;6;199838;29078;265;3;22;1
430;Ignite;Ghost;Vladimir;Blue;Top;1;3793;3793;3793;10;8091;1;3;87050;23496;156;1;16;0
431;Teleport;Flash;Lucian;Blue;Top;5;84;84;84;7;8019;0;0;101156;14579;178;0;15;0
432;Teleport;Flash;Zilean;Red;Top;11;0;2381;0;6;9414;5;26;80465;17810;114;0;22;1
433;Heal;Flash;Kaisa;Blue;Adc;4;1888;9019;1888;8;13527;6;0;139971;19506;229;1;43;0
434;Smite;Flash;LeeSin;Red;Jungle;9;942;14107;942;4;11512;10;18;111954;25614;31;2;24;0
435;Smite;Flash;LeeSin;Red;Jungle;23;1778;45408;1778;5;20920;12;36;274870;72571;112;0;66;0
436;Exhaust;Heal;Yuumi;Blue;Support;22;3231;4573;3231;5;9645;3;24;22803;11028;2;0;70;1
437;Smite;Ghost;Hecarim;Blue;Jungle;6;2222;17589;2222;6;13073;12;22;165199;37141;20;0;25;1
438;Smite;Flash;Qiyana;Red;Jungle;10;0;30456;0;5;17409;19;30;215010;38157;32;0;84;1
439;Ignite;Flash;Rakan;Red;Support;28;632;1448;632;7;9335;3;30;23938;19349;38;1;68;1
440;Ignite;Flash;Leona;Red;Support;13;80;1015;80;11;9330;1;84;21799;36394;34;0;93;0
441;Flash;Exhaust;Yasuo;Blue;Adc;1;786;1085;786;7;8974;5;24;100970;14195;151;0;12;0
442;Flash;Smite;XinZhao;Red;Jungle;8;4506;26996;4506;3;9856;9;15;102962;18689;18;3;28;1
443;Flash;Smite;Gragas;Red;Jungle;7;1786;27788;1786;2;9983;5;22;139953;24088;21;0;37;1
444;Ignite;Smite;Talon;Blue;Jungle;11;457;19651;457;7;11408;4;3;167867;28642;35;0;38;1
445;Ignite;Flash;Rakan;Blue;Support;17;1279;1620;1279;1;7743;3;11;10260;7798;17;0;78;1
446;Flash;Smite;Trundle;Red;Jungle;16;4738;19747;4738;3;11126;6;15;104115;35480;20;2;28;1
447;Teleport;Flash;Fiora;Blue;Top;3;3283;3283;3283;6;12576;3;5;183469;37408;265;2;50;0
448;Flash;Heal;Aphelios;Blue;Adc;9;12226;12226;12226;2;14884;16;15;154463;21219;201;3;14;1
449;Smite;Ghost;Hecarim;Blue;Jungle;7;1202;31437;1202;7;12300;9;18;170298;35048;22;1;27;1
450;Flash;Teleport;Camille;Blue;Top;8;1486;1486;1486;7;9267;2;25;109424;30071;180;0;13;0
451;Flash;Ignite;Akshan;Blue;Top;4;2627;2627;2627;1;8672;5;0;72266;6442;144;2;13;1
452;Flash;Teleport;Irelia;Blue;Top;5;1824;6246;1824;5;9111;1;6;112342;15535;185;1;11;1
453;Flash;Teleport;Azir;Blue;Mid;8;3003;6122;3003;6;10601;5;10;98214;14272;151;1;17;1
454;Flash;Heal;Ezreal;Blue;Adc;6;1516;20298;1516;7;13656;6;5;180769;25689;194;1;28;0
455;Ignite;Flash;Nautilus;Red;Support;8;515;515;515;6;8286;4;51;26211;19224;36;1;77;1
456;Flash;Teleport;Sett;Blue;Top;5;6221;8848;6221;6;12368;4;25;141326;39597;179;2;31;0
457;Ghost;Smite;Hecarim;Red;Jungle;13;3491;27954;3491;2;16921;18;32;230857;46988;51;2;17;1
458;Flash;Ignite;Galio;Blue;Mid;10;1068;1068;1068;13;9966;5;34;102281;34189;146;0;23;0
459;Flash;Ignite;Lulu;Blue;Support;20;3085;3085;3085;3;9052;3;17;19425;10618;11;1;47;1
460;Flash;Teleport;Graves;Blue;Top;12;5649;28165;5649;7;12237;6;18;177430;24382;163;2;32;1
461;Flash;Ignite;Lulu;Red;Support;12;596;596;596;2;5879;3;11;9808;5251;10;0;29;1
462;Flash;Heal;Aphelios;Red;Adc;1;4114;4114;4114;4;5073;0;13;59508;10382;115;0;12;0
463;Flash;Teleport;Sylas;Blue;Mid;9;8766;9949;8766;4;11184;6;17;116457;18088;124;6;22;1
464;Flash;Heal;MissFortune;Blue;Adc;8;4572;4572;4572;0;8043;5;8;65804;7552;146;2;13;1
465;Teleport;Ignite;Katarina;Blue;Mid;11;2239;6799;2239;6;10922;5;0;116600;21740;144;1;25;1
466;Flash;Smite;Evelynn;Blue;Jungle;2;30;1609;30;7;7779;4;8;99271;25183;9;0;21;0
467;Flash;Smite;LeeSin;Red;Jungle;16;1060;37826;1060;5;12929;5;17;192100;39367;42;3;39;1
468;Flash;Smite;LeeSin;Red;Jungle;9;73;20344;73;6;11679;6;19;188373;32626;55;0;24;0
469;Flash;Heal;Senna;Blue;Adc;4;1630;11523;1630;5;8870;2;10;70095;15342;141;1;8;0
470;Flash;Exhaust;Karthus;Red;Adc;3;50;50;50;13;14035;11;26;167251;22398;223;0;15;0
471;Flash;Heal;Sona;Red;Support;9;877;877;877;4;5682;2;13;8943;10858;12;0;31;0
472;Teleport;Flash;Lillia;Red;Top;3;2061;2975;2061;2;9318;5;13;110176;15107;157;0;19;1
473;Flash;Heal;Jhin;Blue;Adc;2;1440;2245;1440;3;6136;2;5;48989;4933;101;0;10;1
474;Flash;Smite;Viego;Red;Jungle;4;1190;14286;1190;1;7653;3;10;108585;15116;14;0;12;1
475;Flash;Teleport;Kassadin;Blue;Mid;2;75;75;75;8;12462;7;11;119263;23073;177;1;22;0
476;Flash;Smite;Viego;Blue;Jungle;9;441;37366;441;13;11003;4;16;136494;45378;37;0;17;0
477;Flash;Heal;Xayah;Blue;Adc;10;9366;26989;9366;4;15594;10;8;219917;18560;222;5;21;1
478;Teleport;Flash;Galio;Red;Mid;10;3753;3753;3753;6;15223;13;39;145646;25702;207;4;20;1
479;Smite;Ghost;Hecarim;Blue;Jungle;14;976;21889;976;4;11516;5;25;162116;30834;34;1;35;1
480;Ignite;Teleport;Katarina;Red;Mid;7;962;962;962;11;12076;11;2;97968;23755;111;0;7;0
481;Ignite;Flash;Zed;Blue;Mid;3;791;791;791;3;10569;5;3;142062;13330;201;0;13;0
482;Ignite;Flash;Nautilus;Red;Support;13;0;0;0;7;6577;0;45;14798;18347;31;0;53;0
483;Ignite;Teleport;Ekko;Red;Top;4;2483;6259;2483;6;10080;4;10;130169;25226;185;1;20;0
484;Flash;Ignite;Bard;Blue;Support;8;49;4306;49;3;5473;0;20;15928;9364;19;0;39;0
485;Teleport;Flash;Irelia;Blue;Top;7;6064;18640;6064;5;13116;7;14;147946;29603;203;2;26;1
486;Flash;Teleport;Trundle;Blue;Top;4;15012;26970;15012;3;13077;10;10;135467;22430;157;5;14;1
487;Flash;Ignite;Rumble;Blue;Mid;13;2508;3403;2508;13;12123;11;19;104534;29146;150;1;19;0
488;Flash;Exhaust;Viktor;Red;Mid;4;864;2659;864;8;10433;5;17;86241;17281;141;0;9;0
489;Ignite;Teleport;Akali;Blue;Mid;5;2962;3392;2962;5;10092;8;3;76554;17327;133;1;20;0
490;Flash;Teleport;Vayne;Red;Top;1;3607;3607;3607;4;6841;6;12;46393;9198;108;1;15;1
491;Flash;Teleport;Syndra;Blue;Mid;10;1015;2603;1015;6;10323;6;27;88283;13072;132;0;21;0
492;Teleport;Ignite;Akali;Blue;Top;8;6987;7400;6987;10;13323;8;3;106784;43972;169;3;30;1
493;Smite;Flash;Zac;Blue;Jungle;12;0;27441;0;5;9971;1;41;145178;36916;18;1;38;0
494;Flash;Teleport;Syndra;Red;Mid;13;4295;11073;4295;2;14144;5;23;184170;13748;226;3;11;1
495;Flash;Teleport;Syndra;Blue;Top;6;3921;5875;3921;8;12175;6;25;155550;16765;216;3;14;0
496;Flash;Teleport;Ekko;Blue;Mid;1;498;634;498;6;7490;3;8;85722;18987;145;0;13;0
497;Flash;Teleport;Jax;Blue;Top;3;10412;16026;10412;5;14088;7;22;171874;27873;191;4;18;0
498;Teleport;Flash;Kassadin;Blue;Mid;3;835;2670;835;7;11619;6;15;77569;24449;162;1;15;0
499;Flash;Ignite;Nautilus;Red;Support;13;586;1636;586;4;8232;5;57;25192;14957;32;0;68;1
